tin,taxpayer_name,taxpayer_type,tax_account_number,assessment_number,form_version,tax_period_year,tax_period_month,received_date,entry_date,due_date,total_sales_income,exempt_sales,zero_rated_sales,add_exempt_and_zero_rated_sales,gst_taxable_sales,output_debits,deferred_import_liabilities,gst_paid_on_inputs,gst_paid_exempt_sales,gst_paid_private,add_private_and_exempt_gst_paid,input_credits,deduct_input_credits,gst_payable,gst_refundable,gst_sec65a_credit_allowable,reason
500000170,HBS (PNG) LIMITED,ENTERPRISE,31973,3609432,3,2024,9,21-OCT-24,22-OCT-24,21-OCT-24,14258547.19,-39378.05,0.0,-39378.05,14297925.24,1299811.39,0.0,1290922.01,0.0,0.0,0.0,1290922.01,1290922.01,8889.38,0.0,0.0,exempt_sales value -39378.05 is negative; exempt_sales value -74414.52 is negative
500000170,HBS (PNG) LIMITED,ENTERPRISE,31973,3725381,3,2024,10,25-NOV-24,11-MAR-25,21-NOV-24,11461888.13,-74414.52,0.0,-74414.52,11536302.65,1048754.79,0.0,1038782.1,0.0,0.0,0.0,1038782.1,1038782.1,9972.69,0.0,0.0,exempt_sales value -39378.05 is negative; exempt_sales value -74414.52 is negative
500001197,NES FIRCROFT PNG LIMITED,ENTERPRISE,23570,3362548,3,2024,1,20-FEB-24,21-FEB-24,21-FEB-24,3727522.48,-4272.04,1303978.32,1299706.28,2427816.2,220710.56,0.0,54892.85,0.0,0.0,0.0,54892.85,54892.85,165817.71,0.0,0.0,exempt_sales value -4272.04 is negative; exempt_sales value -4691.89 is negative
500001197,NES FIRCROFT PNG LIMITED,ENTERPRISE,23570,3550972,3,2024,7,21-AUG-24,22-AUG-24,21-AUG-24,2977243.63,-4691.89,909709.08,905017.19,2072226.44,188384.22,0.0,72625.82,0.0,0.0,0.0,72625.82,72625.82,115758.4,0.0,0.0,exempt_sales value -4272.04 is negative; exempt_sales value -4691.89 is negative
500001614,PACIFIC MMI INSURANCE LIMITED,ENTERPRISE,32967,3394138,3,2024,2,22-MAR-24,22-MAR-24,21-MAR-24,2276504.47,87674.52,-286717.85,-199043.33,2475547.8,225049.8,0.0,205332.27,120000.0,0.0,120000.0,85332.27,85332.27,139717.53,0.0,0.0,zero_rated_sales value -286717.85 is negative
500007529,AMALPACK LTD,ENTERPRISE,28280,3601088,3,2024,9,11-OCT-24,11-OCT-24,21-OCT-24,7976270.5,0.0,-6444.51,-6444.51,7982715.01,725701.36,0.0,579766.29,0.0,0.0,0.0,579766.29,579766.29,145935.07,0.0,0.0,zero_rated_sales value -6444.51 is negative
500000303,LIHIR GOLD LIMITED,ENTERPRISE,35226,3806489,3,2024,8,21-SEP-24,22-MAY-25,23-SEP-24,395335216.17,,389447385.32,,,,,10877055.78,,1288230.42,,,,,,,Sum difference exceeds tolerance (difference=nan)
500000303,LIHIR GOLD LIMITED,ENTERPRISE,35226,3806550,3,2024,9,21-OCT-24,22-MAY-25,21-OCT-24,590362398.06,,583946771.37,,,,,11300989.12,,23350.87,,,,,,,Sum difference exceeds tolerance (difference=nan)
500000303,LIHIR GOLD LIMITED,ENTERPRISE,35226,3806783,3,2024,10,21-NOV-24,22-MAY-25,21-NOV-24,446778278.46,,442691347.59,,,,,10618023.16,,77445.0,,,,,,,Sum difference exceeds tolerance (difference=nan)
500000303,LIHIR GOLD LIMITED,ENTERPRISE,35226,3806841,3,2024,11,21-DEC-24,22-MAY-25,23-DEC-24,502982917.68,,497667281.75,,,,,9555687.69,,19338.88,,,,,,,Sum difference exceeds tolerance (difference=nan)
500000303,LIHIR GOLD LIMITED,ENTERPRISE,35226,3806927,3,2024,12,21-JAN-25,22-MAY-25,21-JAN-25,801913752.9,,795552042.71,,,,,11255782.72,,22015.54,,,,,,,Sum difference exceeds tolerance (difference=nan)
